v1	V(n001)	V(n002)	I(D1)	I(R1)	I(V1)
6.000000000000003e-001	6.000000e-001	1.141193e-001	1.141195e-004	1.141193e-004	-1.141195e-004
6.100000000000003e-001	6.100000e-001	1.213365e-001	1.213366e-004	1.213365e-004	-1.213366e-004
6.200000000000003e-001	6.200000e-001	1.286723e-001	1.286724e-004	1.286723e-004	-1.286724e-004
6.300000000000003e-001	6.300000e-001	1.361187e-001	1.361188e-004	1.361187e-004	-1.361188e-004
6.400000000000004e-001	6.400000e-001	1.436684e-001	1.436685e-004	1.436684e-004	-1.436685e-004
6.500000000000004e-001	6.500000e-001	1.513144e-001	1.513145e-004	1.513144e-004	-1.513145e-004
6.600000000000004e-001	6.600000e-001	1.590505e-001	1.590506e-004	1.590505e-004	-1.590506e-004
6.700000000000004e-001	6.700000e-001	1.668710e-001	1.668711e-004	1.668710e-004	-1.668711e-004
6.800000000000004e-001	6.800000e-001	1.747706e-001	1.747707e-004	1.747706e-004	-1.747707e-004
6.900000000000004e-001	6.900000e-001	1.827444e-001	1.827445e-004	1.827444e-004	-1.827445e-004
7.000000000000004e-001	7.000000e-001	1.907879e-001	1.907880e-004	1.907879e-004	-1.907880e-004
7.100000000000004e-001	7.100000e-001	1.988971e-001	1.988971e-004	1.988971e-004	-1.988971e-004
7.200000000000004e-001	7.200000e-001	2.070681e-001	2.070681e-004	2.070681e-004	-2.070681e-004
7.300000000000004e-001	7.300000e-001	2.152974e-001	2.152974e-004	2.152974e-004	-2.152974e-004
7.400000000000004e-001	7.400000e-001	2.235817e-001	2.235818e-004	2.235818e-004	-2.235818e-004
7.500000000000004e-001	7.500000e-001	2.319182e-001	2.319182e-004	2.319182e-004	-2.319182e-004
7.600000000000005e-001	7.600000e-001	2.403038e-001	2.403039e-004	2.403038e-004	-2.403039e-004
7.700000000000005e-001	7.700000e-001	2.487362e-001	2.487362e-004	2.487362e-004	-2.487362e-004
7.800000000000005e-001	7.800000e-001	2.572128e-001	2.572128e-004	2.572128e-004	-2.572128e-004
7.900000000000005e-001	7.900000e-001	2.657315e-001	2.657315e-004	2.657315e-004	-2.657315e-004
8.000000000000005e-001	8.000000e-001	2.742901e-001	2.742902e-004	2.742902e-004	-2.742902e-004
8.100000000000005e-001	8.100000e-001	2.828868e-001	2.828868e-004	2.828868e-004	-2.828868e-004
8.200000000000005e-001	8.200000e-001	2.915197e-001	2.915197e-004	2.915197e-004	-2.915197e-004
8.300000000000005e-001	8.300000e-001	3.001871e-001	3.001872e-004	3.001872e-004	-3.001872e-004
8.400000000000005e-001	8.400000e-001	3.088875e-001	3.088875e-004	3.088875e-004	-3.088875e-004
8.500000000000005e-001	8.500000e-001	3.176193e-001	3.176194e-004	3.176193e-004	-3.176194e-004
8.600000000000005e-001	8.600000e-001	3.263812e-001	3.263812e-004	3.263812e-004	-3.263812e-004
8.700000000000006e-001	8.700000e-001	3.351719e-001	3.351719e-004	3.351719e-004	-3.351719e-004
8.800000000000006e-001	8.800000e-001	3.439901e-001	3.439901e-004	3.439901e-004	-3.439901e-004
8.900000000000006e-001	8.900000e-001	3.528346e-001	3.528346e-004	3.528346e-004	-3.528346e-004
9.000000000000006e-001	9.000000e-001	3.617045e-001	3.617045e-004	3.617045e-004	-3.617045e-004
9.100000000000006e-001	9.100000e-001	3.705987e-001	3.705987e-004	3.705987e-004	-3.705987e-004
